"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C2","100n","Device:C","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~",""
"2","1","C3","1u","Device:C","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~",""
"3","1","C4","10u","Device:C","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~",""
"4","1","C5","470p","Device:C","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~",""
"5","3","D1, D2, D3","LED","Device:LED","LED_THT:LED_D5.0mm","~",""
"6","11","H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~",""
"7","1","H13","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.7mm","~",""
"8","1","P1","USB_C_Plug_USB2.0","Connector:USB_C_Plug_USB2.0","Library:TYPE-C 16PIN 2MD(073)","https://www.usb.org/sites/default/files/documents/usb_type-c.zip",""
"9","2","Q1, Q2","S8050","Transistor_BJT:S8050","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf",""
"10","1","R1","4.7k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"11","7","R2, R3, R7, R10, R11, R12, R13","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"12","3","R4, R8, R9","330R","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"13","1","R5","16330R","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"14","1","R6","19330R","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"15","1","R14","330","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"16","2","SW1, SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm_Wuerth-430476085716","~",""
"17","1","U1","CH340C","Interface_USB:CH340C","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf",""
"18","1","U2","ESP-12E","RF_Module:ESP-12E_XPIN","RF_Module:ESP-12E_XPIN","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf",""
